Start,End,Open,High,Low,Close,Volume,Market Cap
2023-12-04,2023-12-05,39996.28,42386.31,39996.28,41995.8,45256074426.01045,810450559159.561
2023-12-05,2023-12-06,41829.46,44413.99,41437.9,44085.68,49546230774.14634,829406274555.317
2023-12-06,2023-12-07,44093.22,44269.99,43454,43714.53,58528532347.84321,858274492504.7178
2023-12-07,2023-12-08,43715.38,44045.95,43011.1,43249.99,41066694506.334496,852042865990.6447
2023-12-08,2023-12-09,43349.04,44614.01,43129.99,44199.33,39721599933.47387,854157532255.5784
2023-12-09,2023-12-10,44228.39,44344.36,43629.98,43701.25,34921098823.93031,861239322684.5992
2023-12-10,2023-12-11,43740.05,44032.99,43610.02,43762.68,25488738148.069687,857365108731.7352
2023-12-11,2023-12-12,43795.02,43804.42,40375.19,41221.12,43928078511.16197,820322454958.5387
2023-12-12,2023-12-13,41233.99,42045.96,40700.59,41512.61,49053492392.33798,813032395077.4147
2023-12-13,2023-12-14,41427.04,43354.3,40693.86,42906.87,38015896251.75874,814460789292.8776
2023-12-14,2023-12-15,42832.03,43357.6,41938.38,43004.17,42926037867.177704,838437716678.5958
2023-12-15,2023-12-16,42961.53,43078.69,41742.32,41953.42,38104663006.09408,831217872975.5052
2023-12-16,2023-12-17,41981.1,42697.9,41725.94,42244.61,29560084614.672474,827617815825.6586
2023-12-17,2023-12-18,42282.96,42418.39,41298.47,41448.75,24395333766.28223,821144424790.8711
2023-12-18,2023-12-19,41430.58,42714.97,40660.03,42666.06,33206375854.62021,810386601169.5261
2023-12-19,2023-12-20,42619.05,43314.73,41846.62,42300.16,40146496147.6446,836102666654.8989
2023-12-20,2023-12-21,42269.85,44279.96,42225.37,43645.95,36568319532.44599,845239084362.5052
2023-12-21,2023-12-22,43637.62,44206.01,43296.11,43849.41,41877316814.80488,856030268805.0941
2023-12-22,2023-12-23,43846.04,44358.59,43429.95,43948.89,35915195711.23345,857462782522.8502
2023-12-23,2023-12-24,43975.78,43975.78,43351.06,43727.32,26869962875.146343,855108728768.2056
2023-12-24,2023-12-25,43687.93,43927.88,42850.2,43017.9,20957937914.55401,854039074598.122
2023-12-25,2023-12-26,43033.57,43725.61,42764,43613.88,27508254036.878048,848441838527.8258
2023-12-26,2023-12-27,43573.22,43573.22,41723.24,42519.8,32196800352.940765,836347069498.4147
2023-12-27,2023-12-28,42484.06,43624.64,42154.05,43384.25,33682997794.167248,838520902844.0488
2023-12-28,2023-12-29,43421.73,43730.03,42321.07,42592.06,35332722354.58188,840522742624.6133
2023-12-29,2023-12-30,42631.14,43033.78,41683.16,42057.41,35252318490.09059,830544031611.3414
2023-12-30,2023-12-31,42040.12,42570.01,41539.76,42198.85,34758190468.90592,824740192162.7178
2023-12-31,2024-01-01,42206.16,42814.17,42000.02,42224.09,25914047573.00697,831346753476.4495
2024-01-01,2024-01-02,42396.02,44122.03,42227.99,44122.03,25433295176.696865,838286312920.4773
2024-01-02,2024-01-03,44245.11,45846.21,44245.11,44957.63,46637934136.05575,885978270304.2056
